"tema","num_tema_cadastrado"
"Definir se há - ou não - aplicação da figura do reexame necessário nas ações típicas de improbidade administrativa, ajuizadas com esteio na alegada prática de condutas previstas na Lei 8.429/1992, cuja pretensão é julgada improcedente em primeiro grau; 
Discutir se há remessa de ofício nas referidas ações típicas, ou se deve ser reservado ao autor da ação, na postura de órgão acusador - frequentemente o Ministério Público - exercer a prerrogativa de recorrer ou não do desfecho de improcedência da pretensão sancionadora.",1042
"A possibilidade de fixação de honorários advocatícios com fundamento em juízo de equidade, nos termos do art. 85, §§ 2º e 8º, do Código de Processo Civil de 2015.",1046
"Constitucionalidade da majoração, em um ponto percentual, da alíquota da COFINS-Importação, introduzida pelo artigo 8º, § 21, da Lei nº 10.865/2004, com a redação dada pela Lei nº 12.715/2012, e da vedação ao aproveitamento integral dos créditos oriundos do pagamento da exação, constante do § 1º-A do artigo 15 da Lei nº 10.865/2004, incluído pela Lei nº 13.137/2015.",1047
"Inclusão do Imposto Sobre Circulação de Mercadorias e Serviços - ICMS na base de cálculo da Contribuição Previdenciária sobre a Receita Bruta - CPRB.",1048
"Definir se, em casos de sucessão empresarial por incorporação não oportunamente informada ao fisco, a execução fiscal de créditos tributários pode ser redirecionada à sociedade incorporadora sem necessidade de alteração da certidão de dívida ativa.",1049
"Definir se é possível - ou não - a inclusão do valor de eventual multa civil na medida de indisponibilidade de bens decretada na ação de improbidade administrativa, inclusive naquelas demandas ajuizadas com esteio na alegada prática de conduta prevista no art. 11 da Lei 8.429/1992, tipificador da ofensa aos princípios nucleares administrativos.",1055
"Definição acerca dos limites subjetivos da coisa julgada formada no Mandado de Segurança Coletivo 2005.51.01.016159-0 (impetrado pela Associação de Oficiais Militares do Estado do Rio de Janeiro - AME/RJ), presente o quanto decidido no EREsp 1.121.981/RJ, em ordem a demarcar o efetivo espectro de beneficiários legitimados a executar individualmente a Vantagem Pecuniária Especial/VPE prevista na Lei nº 11.134/05.",1056
"Possibilidade do reconhecimento da legitimidade ativa ""ad causam"" de pensionistas e sucessores para, em ordem de preferência, propor, em nome próprio, à falta de requerimento do segurado em vida, ação revisional da aposentadoria do ""de cujus"", com o objetivo de redefinir a renda mensal da pensão por morte - quando existente -, e, por conseguinte, receber, além das diferenças resultantes do recálculo do eventual pensionamento, os valores devidos e não pagos pela Administração ao instituidor quando vivo, referentes à readequação do benefício originário, a teor do disposto no art. 112 da Lei n. 8.213/1991.",1057
"Caracterização do crime de desobediência quando a ordem de parada a veículo for emitida por policial no exercício de atividade ostensiva de segurança pública",1060
"Possibilidade de inscrição em dívida ativa para a cobrança dos valores indevidamente recebidos a título de benefício previdenciário: verificação da aplicação dos §§3º e 4º, do art. 115, da Lei n. 8.213/91 aos processos em curso.",1064
"Inclusão da COFINS e da contribuição ao PIS em suas próprias bases de cálculo.",1067
"Possibilidade, ou não, de sempre se somar as contribuições previdenciárias para integrar o salário-de-contribuição, nos casos de atividades concomitantes (artigo 32 da Lei n. 8.213/91), após o advento da Lei 9.876/99, que extinguiu as escalas de salário-base.",1070
"Definição do termo ""ingressado no serviço público"", à luz do art. 40, § 16, da Constituição Federal, para fins de definição do alcance temporal do direito de opção do servidor público federal, oriundo de cargo público de outro ente da federação, ao novo regime de previdência complementar.",1071
"Constitucionalidade do art. 16 da Lei 7.347/1985, segundo o qual a sentença na ação civil pública fará coisa julgada erga omnes, nos limites da competência territorial do órgão prolator.",1075
"Definição do alcance da norma inserta no § 8º do artigo 85 do Código de Processo Civil nas causas em que o valor da causa ou o proveito econômico da demanda forem elevados.",1076
"Definir se o limite de 20 (vinte) salários mínimos é aplicável à apuração da base de cálculo de ""contribuições parafiscais arrecadadas por conta de terceiros"", nos termos do art. 4º da Lei n. 6.950/1981, com as alterações promovidas em seu texto pelos arts. 1º e 3º do Decreto-Lei n. 2.318/1986.",1079
"Definir se há direito de pensionista de militar à assistência médico-hospitalar por meio do Fundo de Saúde da Aeronáutica (FUNSA). Os processos afetados tratam de instituidores falecidos antes da vigência da Lei nº 13.954/2019, razão pela qual a discussão da tese está adstrita à legislação
vigente antes das alterações promovidas pelo referido diploma legal.",1080
"Definir se a demanda previdenciária cujo valor da condenação seja aferível por simples cálculos aritméticos deve ser dispensada da remessa necessária, quando for possível estimar que será inferior ao montante previsto no artigo 496, § 3º, inc. I do Código de Processo Civil.",1081
"Possibilidade de reconhecimento do exercício de atividade sob condições especiais pela exposição ao agente ruído, quando constatados diferentes níveis de efeitos sonoros, considerando-se apenas o nível máximo aferido (critério ""pico de ruído""), a média aritmética simples ou o Nível de Exposição Normalizado (NEN).",1083
"Recurso extraordinário em que se discute, à luz dos artigos 2º, 5º, inciso II, e 150, inciso I, da Constituição Federal, o afastamento por completo de majoração referente à taxa de utilização do Sistema Integrado de Comércio Exterior (SISCOMEX) promovida pela Portaria nº 257/2011 do Ministério da Fazenda a partir de delegação realizada pelo art. 3º, § 2º, da Lei nº 9.716/1998, sob o fundamento de ofensa ao princípio da legalidade e à relação de referibilidade entre o montante global recolhido dos contribuintes e as despesas relativas à atividade estatal que justifica a taxa. [-]",1085
"a) ""definir se o servidor público federal possui, ou não, o direito de obter a conversão em pecúnia de licença-prêmio por ele não gozada e nem contada em dobro para fins de aposentadoria; b) em caso afirmativo, definir se a referida conversão em pecúnia estará condicionada, ou não, à comprovação, pelo servidor, de que a não fruição ou contagem da licença-prêmio decorreu do interesse da Administração Pública"".",1086
"Definir se o militar diagnosticado como portador do vírus HIV tem direito à reforma ex officio por incapacidade definitiva, independentemente do grau de desenvolvimento da Síndrome de Imunodeficiência Adquirida - SIDA/AIDS, com remuneração calculada com base no soldo correspondente ao grau imediatamente superior ao que possuía na ativa.",1088
"""1) se para provar a eficácia ou ineficácia do EPI (Equipamento de Proteção Individual) para a neutralização dos agentes nocivos à saúde e integridade física do trabalhador, para fins de reconhecimento de tempo especial, basta o que consta no PPP (Perfil Profissiográfico Previdenciário) ou se a comprovação pode ser por outros meios probatórios e, nessa última circunstância, se a prova pericial é obrigatória; 2) se é possível impor rito judicial instrutório rígido e abstrato para apuração da ineficácia do EPI, como fixado pelo Tribunal de origem, ou se o rito deve ser orientado conforme os elementos de cada contexto e os mecanismos processuais disponíveis na legislação adjetiva; 3) se a Corte Regional ampliou o tema delimitado na admissão do IRDR e, se positivo, se é legalmente praticável a ampliação; 4) se é cabível fixar de forma vinculativa, em julgamento de casos repetitivos, rol taxativo de situações de ineficácia do EPI e, sendo factível, examinar a viabilidade jurídica de cada hipótese considerada pelo Tribunal de origem (enquadramento por categoria profissional, ruído, agentes biológicos, agentes cancerígenos e periculosidade); 5) se é admissível inverter, inclusive genericamente, o ônus da prova para que o INSS demonstre ausência de dúvida sobre a eficácia do EPI atestada no PPP"".",1090
"a) se benefício instituído no art. 17, da Lei 11.033/2004, somente se aplica às empresas que se encontram inseridas no regime específico de tributação denominado REPORTO; b) se o art. 17, da Lei 11.033/2004, permite o cálculo de créditos dentro da sistemática da incidência monofásica do PIS e da COFINS; e c) se a incidência monofásica do PIS e da COFINS se compatibiliza com a técnica do creditamento.",1093
"Definição da tese alusiva à prevalência, ou não, do Código de Defesa do Consumidor na hipótese de resolução do contrato de compra e venda de bem imóvel com cláusula de alienação fiduciária em garantia.",1095
"Inclusão do montante correspondente ao Imposto Sobre Circulação de Mercadorias e Serviços (ICMS) destacado nas notas fiscais ou recolhido antecipadamente pelo substituto em regime de substituição tributária progressiva na base de cálculo da contribuição ao Programa de Integração Social (PIS) e da Contribuição para Financiamento da Seguridade Social (COFINS) devidas pelo substituído tributário.",1098
"Definir se, nos termos do inciso IV do art. 117 do Código Penal, o acórdão condenatório sempre interrompe a prescrição, inclusive quando confirmatório da sentença de primeiro grau, seja mantendo, reduzindo ou aumentando a pena anteriormente imposta.",1100
"Definição individualizada da natureza jurídica de verbas percebidas pelo empregado, bem como de sua respectiva habitualidade, para fins de incidência da contribuição previdenciária a cargo do empregador sobre a folha de salários e demais rendimentos conforme o art. 22, I, da Lei nº 8.212/1991.",1100
"Recurso extraordinário em que se discute, à luz dos artigos 2º; 5º, caput; 97; 195, §§ 4º e 5º; e 201 da Constituição Federal, bem como do art. 26 da Emenda Constitucional nº 103/19, se é possível a aplicação da regra definitiva do artigo 29, incisos I e II, da Lei nº 8.213/91, na apuração do salário de benefício, quando mais favorável ao segurado do que a regra de transição contida no artigo 3º da Lei nº 9.876/99, aos segurados que ingressaram no sistema antes de 26/11/99, data da publicação da Lei nº 9.876/99.",1102
"Definir a possibilidade de imposição de tutela inibitória, bem como de responsabilização civil por danos materiais e morais coletivos causados pelo tráfego com excesso de peso em rodovias.",1104
"Definição acerca da incidência, ou não, da Súmula 111/STJ, ou mesmo quanto à necessidade de seu cancelamento, após a vigência do CPC/2015 (art. 85), no que tange à fixação de honorários advocatícios nas ações previdenciárias.",1105
"Definição acerca da ocorrência, ou não, de renúncia tácita da prescrição, como prevista no art. 191 do Código Civil, quando a Administração Pública, no caso concreto, reconhece o direito pleiteado pelo interessado.",1109
"Definir se o tamanho da propriedade não descaracteriza, por si só, o regime de economia familiar, caso estejam comprovados os demais requisitos para a concessão da aposentadoria por idade rural.",1115
"(In)exigibilidade da cobrança da Taxa de Saúde Suplementar - TSS, instituída nos termos do art. 20, I, da Lei 9.961/2000.",1123
"Definir o termo inicial dos efeitos financeiros dos benefícios previdenciários concedidos ou revisados judicialmente, por meio de prova não submetida ao crivo administrativo do INSS: se a contar da data do requerimento administrativo ou da citação da autarquia previdenciária.",1124
"Possibilidade de exclusão do valor correspondente ao ICMS-ST da base de cálculo da Contribuição ao PIS e da COFINS devidas pelo contribuinte substituído.",1125
"i) interstício a ser observado na progressão funcional de servidores da carreira do Seguro Social: 12 (doze) ou 18 (dezoito) meses; ii) legalidade da progressão funcional com efeitos financeiros em data distinta daquela de entrada do servidor na carreira (início do exercício funcional); iii) exigibilidade de eventuais diferenças existentes em favor dos servidores quanto ao período de exercício da função até 01/01/2017, considerada a redação do art. 39 da Lei n.º 13.324/2016.",1129
"Definir se a eficácia do título judicial de ação coletiva promovida por sindicato de âmbito estadual está restrita aos integrantes da respectiva categoria profissional (filiados ou não) lotados ou em exercício na base territorial da entidade sindical autora.",1130
"Definir se, com esteio no art. 139, IV, do CPC/15, é possível, ou não, o magistrado, observando-se a devida fundamentação, o contraditório e a proporcionalidade da medida, adotar, de modo subsidiário, meios executivos atípicos.",1137
"Definir, para efeito de adequação dos benefícios concedidos antes da Constituição Federal aos tetos das Emendas Constitucionais ns. 20/1998 e 41/2003, a forma de cálculo da renda mensal do benefício em face da aplicação, ou não, dos limitadores vigentes à época de sua concessão(menor e maior valor-teto).",1140
"Definir se é prescritível a pretensão de expedição de novo precatório ou RPV, após o cancelamento da requisição anterior, de que tratam os arts. 2º e 3º da Lei 13.463, de 06/07/2017.",1141
"I - definir se a hipótese de inexigibilidade de cobrança prevista na parte final do art. 47, § 1º, da Lei n. 9.636/98 abrange ou não os créditos da União relativos a receitas esporádicas, notadamente aquelas referentes ao laudêmio; II - aferir se a inexistência de registro imobiliário da transação (contratos de gaveta) impede a caracterização do fato gerador do laudêmio e, por conseguinte, obsta a fluência do prazo decadencial de seu lançamento.",1142
"Definir: 1) qual o prazo prescricional aplicável em caso de demanda que envolva pedido de ressarcimento ao Sistema Único de Saúde na hipótese do art. 32 da Lei n.º 9.656/98: se é aplicável o prazo quinquenal previsto no art. 1º do Decreto n.º 20.910/32, ou o prazo trienal prescrito no art. 206, §3º do Código Civil; 2) qual o termo inicial da contagem do prazo prescricional: se começa a correr com a internação do paciente, com a alta do hospital, ou a partir da notificação da decisão do processo administrativo que apura os valores a serem ressarcidos.",1147
"- O Banco do Brasil possui, ou não, legitimidade passiva ad causam para figurar no polo passivo de demanda na qual se discute eventual falha na prestação do serviço quanto a conta vinculada ao PASEP, saques indevidos e desfalques, além da ausência de aplicação dos rendimentos estabelecidas pelo Conselho Diretor do referido programa.
- A pretensão ao ressarcimento dos danos havidos em razão dos desfalques em conta individual vinculada ao PASEP se submete ao prazo prescricional decenal previsto pelo artigo 205 do Código Civil ou ao prazo quinquenal estipulado pelo artigo 1° do Decreto n° 20.910/32.
- O termo inicial para a contagem do prazo prescricional é o dia em que o titular toma ciência dos desfalques ou a data do último depósito efetuado na conta individual vinculada ao PASEP.",1150
"Definir a possibilidade - ou não - de cancelamento na via administrativa, após regular realização de perícia médica, dos benefícios previdenciários por incapacidade, concedidos judicialmente e após o trânsito em julgado, independentemente de propositura de ação revisional.",1157
"A possibilidade de incidência do Imposto de Renda retido na fonte e da Contribuição Social sobre o Lucro Líquido sobre o total dos rendimentos e ganhos líquidos de operações financeiras, ainda que se trate de variações patrimoniais decorrentes de diferença de correção monetária.",1160
"Definir se é possível flexibilizar o critério econômico para deferimento do benefício de auxílio- reclusão, ainda que o salário-de-contribuição do segurado supere o valor legalmente fixado como critério de baixa renda.",1162
"Definir se incide contribuição previdenciária patronal sobre o auxílio-alimentação pago em pecúnia.",1164
"Definir se a liquidação prévia do julgado é requisito indispensável para o ajuizamento de ação objetivando o cumprimento de sentença condenatória genérica proferida em demanda coletiva, de modo que sua ausência acarreta a extinção da ação executiva, ou se o exame quanto ao prosseguimento da ação executiva deve ser feito pelo Magistrado com base no cotejo dos elementos concretos trazidos aos autos.",1169
"Definir se é cabível a incidência de contribuição previdenciária sobre os valores pagos a empregado a título de décimo terceiro salário proporcional referente ao aviso prévio indenizado.",1170
"Possibilidade de excluir os valores relativos à contribuição previdenciária do empregado e trabalhador avulso e ao imposto de renda de pessoa física, retidos na fonte pelo empregador, da base de cálculo da contribuição previdenciária patronal e das contribuições destinadas a terceiros e ao SAT/RAT.",1174
"Definir se são eficazes os pagamentos de FGTS, realizados na vigência da redação do art. 18 da Lei 8.036/1990 dada pela Lei 9.491/1997, diretamente ao empregado, em decorrência de acordo celebrado na Justiça do Trabalho, ao invés de efetivados por meio de depósitos nas contas vinculados do titular.",1176
"Definir a legalidade de o Magistrado, no juízo de cognição acerca do direito à gratuidade de justiça, estabelecer critério objetivo para aferir a hipossuficiência e, apenas com base nele, decidir sobre a concessão do benefício.

Caso seja legal a utilização de critérios objetivos no exame da hipossuficiência, qual seria o parâmetro idôneo a ser utilizado.",1178
"Definir se é possível excluir os benefícios fiscais relacionados ao ICMS, - tais como redução de base de cálculo, redução de alíquota, isenção, imunidade, diferimento, entre outros - da base de cálculo do IRPJ e da CSLL (extensão do entendimento firmado no ERESP 1.517.492/PR que excluiu o crédito presumido de ICMS das bases de cálculo do IRPJ e da CSLL).",1182
"""i) Definir se a regra prevista no § 13 do art. 9º da Lei n. 12.546/2011 é dirigida apenas aos contribuintes ou se também vincula a Administração Tributária"" e ""ii) Definir se a revogação da escolha de tributação da contribuição previdenciária pelo sistema da Contribuição Previdenciária sobre Receita Bruta (CPRB) trazida pela Lei n. 13.670/2018 feriu direito do contribuinte ante o caráter irretratável previsto no § 13 do art. 9º da Lei n. 12.546/2011.""",1184
"Exclusão dos valores relativos ao PIS e à COFINS da base de cálculo da Contribuição Previdenciária sobre a Receita Bruta (CPRB).",1186
"Possibilidade de fixação de honorários advocatícios sucumbenciais em cumprimento de sentença contra a Fazenda Pública, independentemente de existência de impugnação à pretensão executória, quando o crédito estiver sujeito ao regime da Requisição de Pequeno Valor - RPV.",1190
"Aplicabilidade das alterações promovidas pela Lei 14.195/2021, no art. 8º da Lei 12.514/2011, às execuções fiscais propostas por conselhos profissionais, antes de sua entrada em vigor.",1193
"Vedação à compensação de débitos relativos ao recolhimento mensal por estimativa do Imposto sobre a Renda das Pessoas Jurídicas - IRPJ e da Contribuição Social sobre o Lucro Líquido - CSLL, em razão do artigo 74, § 3º, IX, da Lei 9.430/1996, acrescido pelo artigo 6º da Lei 13.670/2018.",1197
"Definição de eventual (IR)RETROATIVIDADE das disposições da Lei 14.230/2021, em especial, em relação: (I) A necessidade da presença do elemento subjetivo - dolo - para a configuração do ato de improbidade administrativa, inclusive no artigo 10 da LIA; e (II) A aplicação dos novos prazos de prescrição geral e intercorrente.",1199
"Reconhecimento da atividade de vigilante como especial, com fundamento na exposição ao perigo, seja em período anterior ou posterior à promulgação da Emenda Constitucional 103/2019.",1209
"Reajuste de proventos e pensões concedidos a servidores públicos federais e seus dependentes não beneficiados pela garantia de paridade de revisão, pelo mesmo índice de reajuste do regime geral de previdência social (RGPS), previsto em normativo do Ministério da Previdência Social, no período anterior à Lei 11.784/2008.",1224
"Constitucionalidade do artigo 11, § 1º, incisos V a VIII, da Emenda Constitucional 103/2019, ante a previsão de alíquotas progressivas às contribuições previdenciárias dos servidores públicos federais.",1226
